DATE,HPCP,STATION,STATION_NAME
20130101 01:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 09:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130101 10:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130101 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 13:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 14:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 15:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130101 16:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130101 17:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130101 18:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130101 19:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130101 20:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130101 21:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130101 22:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130101 23:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130102 00:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130102 01:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130102 02:00,0.04,COOP:317069,RALEIGH AIRPORT NC US
20130102 03:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130102 04:00,0.06,COOP:317069,RALEIGH AIRPORT NC US
20130102 05:00,0.01,COOP:317069,RALEIGH AIRPORT NC US
20130102 06:00,0.03,COOP:317069,RALEIGH AIRPORT NC US
20130102 07:00,0.02,COOP:317069,RALEIGH AIRPORT NC US
20130102 08:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130103 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130103 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 03:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 07:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 11:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130106 12:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130111 03:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130111 04:00,0,COOP:317069,RALEIGH AIRPORT NC US
20130111 05:00,0,COOP:317069,RALEIGH AIRPORT NC US
